"Year","Week","Offense","n"
2006,48,"Fel. Assault",275
2006,48,"G.L.A.",275
2006,48,"Gr. Larceny",1081
2006,48,"Misd. Assault",874
2006,48,"Murder",11
2006,48,"Petit Larceny",1615
2006,48,"Rape",47
2006,48,"Robbery",527
2006,49,"Burglary",431
2006,49,"Fel. Assault",283
2006,49,"G.L.A.",287
2006,49,"Gr. Larceny",918
2006,49,"Misd. Assault",834
2006,49,"Murder",11
2006,49,"Petit Larceny",1534
2006,49,"Rape",22
2006,49,"Robbery",447
2006,50,"Burglary",460
2006,50,"Fel. Assault",267
2006,50,"G.L.A.",291
2006,50,"Gr. Larceny",1013
2006,50,"Misd. Assault",898
2006,50,"Murder",15
2006,50,"Petit Larceny",1606
2006,50,"Rape",25
2006,50,"Robbery",483
2006,51,"Burglary",522
2006,51,"Fel. Assault",304
2006,51,"G.L.A.",298
2006,51,"Gr. Larceny",1000
2006,51,"Misd. Assault",877
2006,51,"Murder",13
2006,51,"Petit Larceny",1585
2006,51,"Rape",28
2006,51,"Robbery",525
2006,52,"Burglary",416
2006,52,"Fel. Assault",287
2006,52,"G.L.A.",257
2006,52,"Gr. Larceny",731
2006,52,"Misd. Assault",785
2006,52,"Murder",15
2006,52,"Petit Larceny",1340
2006,52,"Rape",22
2006,52,"Robbery",441
2007,1,"Burglary",399
2007,1,"Fel. Assault",330
2007,1,"G.L.A.",289
2007,1,"Gr. Larceny",971
2007,1,"Misd. Assault",1050
2007,1,"Murder",6
2007,1,"Petit Larceny",1576
2007,1,"Rape",73
2007,1,"Robbery",430
2007,2,"Burglary",445
2007,2,"Fel. Assault",270
2007,2,"G.L.A.",242
2007,2,"Gr. Larceny",828
2007,2,"Misd. Assault",882
2007,2,"Murder",6
2007,2,"Petit Larceny",1540
2007,2,"Rape",13
2007,2,"Robbery",453
2007,3,"Burglary",403
2007,3,"Fel. Assault",241
2007,3,"G.L.A.",223
2007,3,"Gr. Larceny",807
2007,3,"Misd. Assault",910
2007,3,"Murder",3
2007,3,"Petit Larceny",1479
2007,3,"Rape",20
2007,3,"Robbery",395
2007,4,"Burglary",402
2007,4,"Fel. Assault",273
2007,4,"G.L.A.",241
2007,4,"Gr. Larceny",753
2007,4,"Misd. Assault",837
2007,4,"Murder",7
2007,4,"Petit Larceny",1437
2007,4,"Rape",16
2007,4,"Robbery",344
2007,5,"Burglary",392
2007,5,"Fel. Assault",244
2007,5,"G.L.A.",230
2007,5,"Gr. Larceny",786
2007,5,"Misd. Assault",876
2007,5,"Murder",6
2007,5,"Petit Larceny",1310
2007,5,"Rape",27
2007,5,"Robbery",350
2007,6,"Burglary",324
2007,6,"Fel. Assault",239
2007,6,"G.L.A.",205
2007,6,"Gr. Larceny",723
2007,6,"Misd. Assault",817
2007,6,"Murder",10
2007,6,"Petit Larceny",1279
2007,6,"Rape",16
2007,6,"Robbery",297
2007,7,"Burglary",331
2007,7,"Fel. Assault",267
2007,7,"G.L.A.",174
2007,7,"Gr. Larceny",712
2007,7,"Misd. Assault",870
2007,7,"Murder",1
2007,7,"Petit Larceny",1234
2007,7,"Rape",20
2007,7,"Robbery",333
2007,8,"Burglary",352
2007,8,"Fel. Assault",261
2007,8,"G.L.A.",233
2007,8,"Gr. Larceny",686
2007,8,"Misd. Assault",791
2007,8,"Murder",7
2007,8,"Petit Larceny",1399
2007,8,"Rape",21
2007,8,"Robbery",313
2007,9,"Burglary",388
2007,9,"Fel. Assault",285
2007,9,"G.L.A.",248
2007,9,"Gr. Larceny",774
2007,9,"Misd. Assault",995
2007,9,"Murder",5
2007,9,"Petit Larceny",1385
2007,9,"Rape",33
2007,9,"Robbery",315
2007,10,"Burglary",367
2007,10,"Fel. Assault",280
2007,10,"G.L.A.",217
2007,10,"Gr. Larceny",726
2007,10,"Misd. Assault",924
2007,10,"Murder",7
2007,10,"Petit Larceny",1311
2007,10,"Rape",18
2007,10,"Robbery",313
2007,11,"Burglary",316
2007,11,"Fel. Assault",313
2007,11,"G.L.A.",205
2007,11,"Gr. Larceny",743
2007,11,"Misd. Assault",980
2007,11,"Murder",9
2007,11,"Petit Larceny",1287
2007,11,"Rape",20
2007,11,"Robbery",302
2007,12,"Burglary",371
2007,12,"Fel. Assault",305
2007,12,"G.L.A.",215
2007,12,"Gr. Larceny",772
2007,12,"Misd. Assault",1021
2007,12,"Murder",8
2007,12,"Petit Larceny",1426
2007,12,"Rape",27
2007,12,"Robbery",360
2007,13,"Burglary",383
2007,13,"Fel. Assault",357
2007,13,"G.L.A.",226
2007,13,"Gr. Larceny",845
2007,13,"Misd. Assault",1010
2007,13,"Murder",3
2007,13,"Petit Larceny",1486
2007,13,"Rape",38
2007,13,"Robbery",364
2007,14,"Burglary",348
2007,14,"Fel. Assault",270
2007,14,"G.L.A.",198
2007,14,"Gr. Larceny",698
2007,14,"Misd. Assault",785
2007,14,"Murder",15
2007,14,"Petit Larceny",1302
2007,14,"Rape",12
2007,14,"Robbery",308
2007,15,"Burglary",370
2007,15,"Fel. Assault",277
2007,15,"G.L.A.",213
2007,15,"Gr. Larceny",762
2007,15,"Misd. Assault",821
2007,15,"Murder",4
2007,15,"Petit Larceny",1326
2007,15,"Rape",23
2007,15,"Robbery",301
2007,16,"Burglary",356
2007,16,"Fel. Assault",322
2007,16,"G.L.A.",199
2007,16,"Gr. Larceny",772
2007,16,"Misd. Assault",1078
2007,16,"Murder",15
2007,16,"Petit Larceny",1403
2007,16,"Rape",24
2007,16,"Robbery",369
2007,17,"Burglary",412
2007,17,"Fel. Assault",351
2007,17,"G.L.A.",248
2007,17,"Gr. Larceny",821
2007,17,"Misd. Assault",1061
2007,17,"Murder",5
2007,17,"Petit Larceny",1516
2007,17,"Rape",22
2007,17,"Robbery",348
2007,18,"Burglary",373
2007,18,"Fel. Assault",372
2007,18,"G.L.A.",259
2007,18,"Gr. Larceny",897
2007,18,"Misd. Assault",1128
2007,18,"Murder",11
2007,18,"Petit Larceny",1509
2007,18,"Rape",29
2007,18,"Robbery",384
2007,19,"Burglary",400
2007,19,"Fel. Assault",352
2007,19,"G.L.A.",250
2007,19,"Gr. Larceny",843
2007,19,"Misd. Assault",1068
2007,19,"Murder",9
2007,19,"Petit Larceny",1666
2007,19,"Rape",18
2007,19,"Robbery",394
2007,20,"Burglary",412
2007,20,"Fel. Assault",373
2007,20,"G.L.A.",302
2007,20,"Gr. Larceny",853
2007,20,"Misd. Assault",1039
2007,20,"Murder",17
2007,20,"Petit Larceny",1627
2007,20,"Rape",16
2007,20,"Robbery",394
2007,21,"Burglary",441
2007,21,"Fel. Assault",376
2007,21,"G.L.A.",272
2007,21,"Gr. Larceny",882
2007,21,"Misd. Assault",1150
2007,21,"Murder",11
2007,21,"Petit Larceny",1587
2007,21,"Rape",17
2007,21,"Robbery",371
2007,22,"Burglary",436
2007,22,"Fel. Assault",436
2007,22,"G.L.A.",264
2007,22,"Gr. Larceny",864
2007,22,"Misd. Assault",1170
2007,22,"Murder",17
2007,22,"Petit Larceny",1511
2007,22,"Rape",46
2007,22,"Robbery",453
2007,23,"Burglary",431
2007,23,"Fel. Assault",339
2007,23,"G.L.A.",243
2007,23,"Gr. Larceny",874
2007,23,"Misd. Assault",1032
2007,23,"Murder",14
2007,23,"Petit Larceny",1656
2007,23,"Rape",25
2007,23,"Robbery",392
2007,24,"Burglary",428
2007,24,"Fel. Assault",382
2007,24,"G.L.A.",261
2007,24,"Gr. Larceny",884
2007,24,"Misd. Assault",1073
2007,24,"Murder",5
2007,24,"Petit Larceny",1597
2007,24,"Rape",21
2007,24,"Robbery",411
2007,25,"Burglary",416
2007,25,"Fel. Assault",393
2007,25,"G.L.A.",285
2007,25,"Gr. Larceny",868
2007,25,"Misd. Assault",1085
2007,25,"Murder",11
2007,25,"Petit Larceny",1754
2007,25,"Rape",20
2007,25,"Robbery",413
2007,26,"Burglary",438
2007,26,"Fel. Assault",381
2007,26,"G.L.A.",275
2007,26,"Gr. Larceny",881
2007,26,"Misd. Assault",1077
2007,26,"Murder",8
2007,26,"Petit Larceny",1669
2007,26,"Rape",50
2007,26,"Robbery",400
2007,27,"Burglary",407
2007,27,"Fel. Assault",403
2007,27,"G.L.A.",271
2007,27,"Gr. Larceny",816
2007,27,"Misd. Assault",1051
2007,27,"Murder",10
2007,27,"Petit Larceny",1547
2007,27,"Rape",22
2007,27,"Robbery",398
2007,28,"Burglary",442
2007,28,"Fel. Assault",328
2007,28,"G.L.A.",281
2007,28,"Gr. Larceny",823
2007,28,"Misd. Assault",1047
2007,28,"Murder",11
2007,28,"Petit Larceny",1679
2007,28,"Rape",23
2007,28,"Robbery",373
2007,29,"Burglary",491
2007,29,"Fel. Assault",380
2007,29,"G.L.A.",253
2007,29,"Gr. Larceny",921
2007,29,"Misd. Assault",1029
2007,29,"Murder",14
2007,29,"Petit Larceny",1642
2007,29,"Rape",29
2007,29,"Robbery",393
2007,30,"Burglary",475
2007,30,"Fel. Assault",368
2007,30,"G.L.A.",261
2007,30,"Gr. Larceny",906
2007,30,"Misd. Assault",1027
2007,30,"Murder",14
2007,30,"Petit Larceny",1773
2007,30,"Rape",12
2007,30,"Robbery",450
2007,31,"Burglary",516
2007,31,"Fel. Assault",415
2007,31,"G.L.A.",269
2007,31,"Gr. Larceny",1001
2007,31,"Misd. Assault",1154
2007,31,"Murder",11
2007,31,"Petit Larceny",1677
2007,31,"Rape",40
2007,31,"Robbery",428
2007,32,"Burglary",480
2007,32,"Fel. Assault",352
2007,32,"G.L.A.",267
2007,32,"Gr. Larceny",891
2007,32,"Misd. Assault",1020
2007,32,"Murder",11
2007,32,"Petit Larceny",1624
2007,32,"Rape",21
2007,32,"Robbery",447
2007,33,"Burglary",469
2007,33,"Fel. Assault",428
2007,33,"G.L.A.",250
2007,33,"Gr. Larceny",794
2007,33,"Misd. Assault",1015
2007,33,"Murder",6
2007,33,"Petit Larceny",1636
2007,33,"Rape",22
2007,33,"Robbery",422
2007,34,"Burglary",448
2007,34,"Fel. Assault",355
2007,34,"G.L.A.",306
2007,34,"Gr. Larceny",850
2007,34,"Misd. Assault",912
2007,34,"Murder",9
2007,34,"Petit Larceny",1592
2007,34,"Rape",20
2007,34,"Robbery",454
2007,35,"Burglary",442
2007,35,"Fel. Assault",384
2007,35,"G.L.A.",269
2007,35,"Gr. Larceny",930
2007,35,"Misd. Assault",965
2007,35,"Murder",7
2007,35,"Petit Larceny",1600
2007,35,"Rape",41
2007,35,"Robbery",426
2007,36,"Burglary",407
2007,36,"Fel. Assault",382
2007,36,"G.L.A.",282
2007,36,"Gr. Larceny",867
2007,36,"Misd. Assault",1093
2007,36,"Murder",7
2007,36,"Petit Larceny",1555
2007,36,"Rape",29
2007,36,"Robbery",424
2007,37,"Burglary",404
2007,37,"Fel. Assault",354
2007,37,"G.L.A.",266
2007,37,"Gr. Larceny",878
2007,37,"Misd. Assault",1045
2007,37,"Murder",10
2007,37,"Petit Larceny",1664
2007,37,"Rape",23
2007,37,"Robbery",470
2007,38,"Burglary",452
2007,38,"Fel. Assault",332
2007,38,"G.L.A.",243
2007,38,"Gr. Larceny",937
2007,38,"Misd. Assault",1024
2007,38,"Murder",3
2007,38,"Petit Larceny",1576
2007,38,"Rape",24
2007,38,"Robbery",485
2007,39,"Burglary",454
2007,39,"Fel. Assault",389
2007,39,"G.L.A.",298
2007,39,"Gr. Larceny",911
2007,39,"Misd. Assault",1090
2007,39,"Murder",12
2007,39,"Petit Larceny",1620
2007,39,"Rape",17
2007,39,"Robbery",530
2007,40,"Burglary",432
2007,40,"Fel. Assault",363
2007,40,"G.L.A.",239
2007,40,"Gr. Larceny",936
2007,40,"Misd. Assault",1072
2007,40,"Murder",15
2007,40,"Petit Larceny",1631
2007,40,"Rape",38
2007,40,"Robbery",510
2007,41,"Burglary",416
2007,41,"Fel. Assault",308
2007,41,"G.L.A.",256
2007,41,"Gr. Larceny",853
2007,41,"Misd. Assault",933
2007,41,"Murder",9
2007,41,"Petit Larceny",1551
2007,41,"Rape",23
2007,41,"Robbery",460
2007,42,"Burglary",411
2007,42,"Fel. Assault",381
2007,42,"G.L.A.",279
2007,42,"Gr. Larceny",912
2007,42,"Misd. Assault",1040
2007,42,"Murder",10
2007,42,"Petit Larceny",1553
2007,42,"Rape",24
2007,42,"Robbery",504
2007,43,"Burglary",452
2007,43,"Fel. Assault",339
2007,43,"G.L.A.",260
2007,43,"Gr. Larceny",900
2007,43,"Misd. Assault",997
2007,43,"Murder",13
2007,43,"Petit Larceny",1664
2007,43,"Rape",30
2007,43,"Robbery",543
2007,44,"Burglary",407
2007,44,"Fel. Assault",345
2007,44,"G.L.A.",274
2007,44,"Gr. Larceny",971
2007,44,"Misd. Assault",978
2007,44,"Murder",11
2007,44,"Petit Larceny",1565
2007,44,"Rape",27
2007,44,"Robbery",484
2007,45,"Burglary",414
2007,45,"Fel. Assault",303
2007,45,"G.L.A.",250
2007,45,"Gr. Larceny",899
2007,45,"Misd. Assault",868
2007,45,"Murder",15
2007,45,"Petit Larceny",1521
2007,45,"Rape",21
2007,45,"Robbery",483
2007,46,"Burglary",413
2007,46,"Fel. Assault",298
2007,46,"G.L.A.",262
2007,46,"Gr. Larceny",893
2007,46,"Misd. Assault",958
2007,46,"Murder",8
2007,46,"Petit Larceny",1560
2007,46,"Rape",14
2007,46,"Robbery",449
2007,47,"Burglary",459
2007,47,"Fel. Assault",291
2007,47,"G.L.A.",253
2007,47,"Gr. Larceny",818
2007,47,"Misd. Assault",877
2007,47,"Murder",6
2007,47,"Petit Larceny",1467
2007,47,"Rape",17
2007,47,"Robbery",392
2007,48,"Burglary",406
2007,48,"Fel. Assault",279
2007,48,"G.L.A.",234
2007,48,"Gr. Larceny",953
2007,48,"Misd. Assault",896
2007,48,"Murder",11
2007,48,"Petit Larceny",1507
2007,48,"Rape",24
2007,48,"Robbery",463
2007,49,"Burglary",425
2007,49,"Fel. Assault",293
2007,49,"G.L.A.",253
2007,49,"Gr. Larceny",955
2007,49,"Misd. Assault",834
2007,49,"Murder",9
2007,49,"Petit Larceny",1518
2007,49,"Rape",19
2007,49,"Robbery",451
2007,50,"Burglary",450
2007,50,"Fel. Assault",293
2007,50,"G.L.A.",284
2007,50,"Gr. Larceny",1000
2007,50,"Misd. Assault",787
2007,50,"Murder",3
2007,50,"Petit Larceny",1551
2007,50,"Rape",31
2007,50,"Robbery",433
2007,51,"Burglary",469
2007,51,"Fel. Assault",330
2007,51,"G.L.A.",274
2007,51,"Gr. Larceny",1019
2007,51,"Misd. Assault",842
2007,51,"Murder",16
2007,51,"Petit Larceny",1610
2007,51,"Rape",19
2007,51,"Robbery",541
2007,52,"Burglary",399
2007,52,"Fel. Assault",292
2007,52,"G.L.A.",242
2007,52,"Gr. Larceny",772
2007,52,"Misd. Assault",852
2007,52,"Murder",15
2007,52,"Petit Larceny",1392
2007,52,"Rape",24
2007,52,"Robbery",415
2008,1,"Burglary",396
2008,1,"Fel. Assault",367
2008,1,"G.L.A.",234
2008,1,"Gr. Larceny",904
2008,1,"Misd. Assault",979
2008,1,"Murder",13
2008,1,"Petit Larceny",1478
2008,1,"Rape",81
2008,1,"Robbery",438
2008,2,"Burglary",411
2008,2,"Fel. Assault",306
2008,2,"G.L.A.",235
2008,2,"Gr. Larceny",846
2008,2,"Misd. Assault",948
2008,2,"Murder",8
2008,2,"Petit Larceny",1617
2008,2,"Rape",23
