"Year","Week","Offense","n","Date","Month","rollingavg","ytd","monthly_n"
2015,2,"Fel. Assault",273,2015-01-12,1,20082,621,1257
2015,2,"G.L.A.",109,2015-01-12,1,7622,241,473
2015,2,"Gr. Larceny",716,2015-01-12,1,44180,1554,2993
2015,2,"Misd. Assault",832,2015-01-12,1,53425,1658,3433
2015,2,"Murder",8,2015-01-12,1,336,17,37
2015,2,"Petit Larceny",1336,2015-01-12,1,84729,2643,5301
2015,2,"Rape",23,2015-01-12,1,1372,94,137
2015,2,"Robbery",325,2015-01-12,1,16494,644,1340
2016,2,"Burglary",262,2016-01-11,1,15061,497,977
2016,2,"Fel. Assault",354,2016-01-11,1,20542,781,1475
2016,2,"G.L.A.",111,2016-01-11,1,7281,224,425
2016,2,"Gr. Larceny",779,2016-01-11,1,44232,1637,3085
2016,2,"Misd. Assault",901,2016-01-11,1,52326,1877,3568
2016,2,"Murder",8,2016-01-11,1,348,12,22
2016,2,"Petit Larceny",1521,2016-01-11,1,81787,2923,5675
2016,2,"Rape",17,2016-01-11,1,1450,82,110
2016,2,"Robbery",313,2016-01-11,1,16899,626,1193
2017,2,"Burglary",255,2017-01-09,1,12922,475,1212
2017,2,"Fel. Assault",326,2017-01-09,1,20751,749,1850
2017,2,"G.L.A.",93,2017-01-09,1,6258,184,479
2017,2,"Gr. Larceny",726,2017-01-09,1,44347,1610,3953
2017,2,"Misd. Assault",898,2017-01-09,1,52072,1869,4534
2017,2,"Murder",3,2017-01-09,1,336,10,25
2017,2,"Petit Larceny",1406,2017-01-09,1,80750,2815,7336
2017,2,"Rape",18,2017-01-09,1,1451,72,142
2017,2,"Robbery",248,2017-01-09,1,15344,549,1407
2018,2,"Burglary",216,2018-01-08,1,12052,414,1096
2018,2,"Fel. Assault",328,2018-01-08,1,20028,664,1789
2018,2,"G.L.A.",87,2018-01-08,1,5638,173,441
2018,2,"Gr. Larceny",774,2018-01-08,1,42952,1449,3870
2018,2,"Misd. Assault",895,2018-01-08,1,51180,1739,4595
2018,2,"Murder",5,2018-01-08,1,275,8,21
2018,2,"Petit Larceny",1441,2018-01-08,1,83243,2659,7462
2018,2,"Rape",17,2018-01-08,1,1470,56,129
2018,2,"Robbery",268,2018-01-08,1,13914,497,1281
2019,2,"Burglary",207,2019-01-14,1,11722,410,831
2019,2,"Fel. Assault",343,2019-01-14,1,20403,727,1341
2019,2,"G.L.A.",79,2019-01-14,1,5381,160,306
2019,2,"Gr. Larceny",775,2019-01-14,1,43573,1572,2986
2019,2,"Misd. Assault",828,2019-01-14,1,53046,1832,3595
2019,2,"Murder",5,2019-01-14,1,305,10,21
2019,2,"Petit Larceny",1523,2019-01-14,1,86546,3161,6077
2019,2,"Rape",26,2019-01-14,1,1606,73,131
2019,2,"Robbery",225,2019-01-14,1,12877,453,864
2020,2,"Burglary",285,2020-01-13,1,10977,537,1075
2020,2,"Fel. Assault",358,2020-01-13,1,20847,763,1492
2020,2,"G.L.A.",130,2020-01-13,1,5479,259,514
2020,2,"Gr. Larceny",878,2020-01-13,1,43106,1676,3365
2020,2,"Misd. Assault",947,2020-01-13,1,52636,1966,3660
2020,2,"Murder",7,2020-01-13,1,299,10,21
2020,2,"Petit Larceny",1812,2020-01-13,1,89035,3433,7069
2020,2,"Rape",17,2020-01-13,1,1590,67,117
2020,2,"Robbery",304,2020-01-13,1,13560,613,1180
2021,2,"Burglary",268,2021-01-11,1,15555,534,988
2021,2,"Fel. Assault",349,2021-01-11,1,20704,743,1419
2021,2,"G.L.A.",137,2021-01-11,1,9074,296,561
2021,2,"Gr. Larceny",601,2021-01-11,1,35039,1213,2380
2021,2,"Misd. Assault",702,2021-01-11,1,42674,1462,2809
2021,2,"Murder",10,2021-01-11,1,456,14,29
2021,2,"Petit Larceny",1496,2021-01-11,1,81497,2957,6078
2021,2,"Rape",19,2021-01-11,1,1266,60,90
2021,2,"Robbery",215,2021-01-11,1,12933,443,838
2022,2,"Burglary",283,2022-01-10,1,12833,532,1367
2022,2,"Fel. Assault",388,2022-01-10,1,23102,825,2062
2022,2,"G.L.A.",302,2022-01-10,1,10650,551,1304
2022,2,"Gr. Larceny",903,2022-01-10,1,42660,1848,4345
2022,2,"Misd. Assault",866,2022-01-10,1,48508,1753,4517
2022,2,"Murder",6,2022-01-10,1,475,14,34
2022,2,"Petit Larceny",1826,2022-01-10,1,87701,3590,9233
2022,2,"Rape",21,2022-01-10,1,1275,59,132
2022,2,"Robbery",294,2022-01-10,1,13952,584,1427
2023,2,"Burglary",286,2023-01-09,1,15844,607,1434
2023,2,"Fel. Assault",456,2023-01-09,1,26289,1000,2343
2023,2,"G.L.A.",307,2023-01-09,1,13755,563,1359
2023,2,"Gr. Larceny",905,2023-01-09,1,50931,1876,4521
2023,2,"Misd. Assault",938,2023-01-09,1,54999,1995,5089
2023,2,"Murder",7,2023-01-09,1,429,14,36
2023,2,"Petit Larceny",2066,2023-01-09,1,116116,4063,10256
2023,2,"Rape",22,2023-01-09,1,1341,63,123
2023,2,"Robbery",314,2023-01-09,1,17446,649,1489
2024,2,"Burglary",279,2024-01-08,1,13476,507,1221
2024,2,"Fel. Assault",472,2024-01-08,1,27596,1029,2439
2024,2,"G.L.A.",276,2024-01-08,1,15589,555,1264
2024,2,"Gr. Larceny",887,2024-01-08,1,47771,1782,4563
2024,2,"Misd. Assault",999,2024-01-08,1,57914,2096,5194
2024,2,"Murder",2,2024-01-08,1,365,10,26
2024,2,"Petit Larceny",1967,2024-01-08,1,107261,3814,9823
2024,2,"Rape",16,2024-01-08,1,1085,49,113
2024,2,"Robbery",344,2024-01-08,1,16849,686,1633
2026,2,"Murder",2,2026-01-12,1,232,5,11
2026,2,"Rape",44,2026-01-12,1,1952,78,157
2026,2,"Robbery",237,2026-01-12,1,14226,484,884
2026,2,"Fel. Assault",448,2026-01-12,1,27289,892,1772
2026,2,"Burglary",165,2026-01-12,1,11291,380,736
2026,2,"Gr. Larceny",876,2026-01-12,1,46164,1767,3126
2026,2,"G.L.A.",228,2026-01-12,1,13455,432,796
2026,2,"Petit Larceny",2066,2026-01-12,1,105954,4077,7435
2026,2,"Misd. Assault",767,2026-01-12,1,46214,1507,2960
2006,3,"Burglary",445,2006-01-16,1,NA,1362,2232
2006,3,"Fel. Assault",250,2006-01-16,1,NA,879,1446
2006,3,"G.L.A.",333,2006-01-16,1,NA,970,1548
2006,3,"Gr. Larceny",851,2006-01-16,1,NA,2695,4314
2006,3,"Misd. Assault",952,2006-01-16,1,NA,2851,4626
2006,3,"Murder",8,2006-01-16,1,NA,33,52
2006,3,"Petit Larceny",1514,2006-01-16,1,NA,4472,7434
2006,3,"Rape",34,2006-01-16,1,NA,150,225
2006,3,"Robbery",443,2006-01-16,1,NA,1413,2265
2007,3,"Burglary",403,2007-01-15,1,22849,1247,2041
2007,3,"Fel. Assault",241,2007-01-15,1,16926,841,1358
2007,3,"G.L.A.",223,2007-01-15,1,15623,754,1225
2007,3,"Gr. Larceny",807,2007-01-15,1,45980,2606,4145
2007,3,"Misd. Assault",910,2007-01-15,1,51403,2842,4555
2007,3,"Murder",3,2007-01-15,1,548,15,28
2007,3,"Petit Larceny",1479,2007-01-15,1,80045,4595,7342
2007,3,"Rape",20,2007-01-15,1,1487,106,149
2007,3,"Robbery",395,2007-01-15,1,22726,1278,1972
2008,3,"Burglary",400,2008-01-21,1,21534,1207,1596
2008,3,"Fel. Assault",231,2008-01-21,1,17337,904,1162
2008,3,"G.L.A.",228,2008-01-21,1,13036,697,937
2008,3,"Gr. Larceny",756,2008-01-21,1,44331,2506,3290
2008,3,"Misd. Assault",924,2008-01-21,1,50945,2851,3712
2008,3,"Murder",8,2008-01-21,1,500,29,38
2008,3,"Petit Larceny",1579,2008-01-21,1,79626,4674,6293
2008,3,"Rape",21,2008-01-21,1,1318,125,143
2008,3,"Robbery",413,2008-01-21,1,21365,1308,1746
2009,3,"Burglary",305,2009-01-19,1,20377,997,1330
2009,3,"Fel. Assault",273,2009-01-19,1,16134,830,1079
2009,3,"G.L.A.",227,2009-01-19,1,12348,638,861
2009,3,"Gr. Larceny",642,2009-01-19,1,43155,2109,2738
2009,3,"Misd. Assault",821,2009-01-19,1,49729,2534,3430
2009,3,"Murder",7,2009-01-19,1,500,20,26
2009,3,"Petit Larceny",1344,2009-01-19,1,82168,4226,5618
2009,3,"Rape",19,2009-01-19,1,1271,100,118
2009,3,"Robbery",363,2009-01-19,1,22065,1112,1494
2010,3,"Burglary",403,2010-01-18,1,19520,1153,1535
2010,3,"Fel. Assault",304,2010-01-18,1,16747,854,1143
2010,3,"G.L.A.",200,2010-01-18,1,10514,565,757
2010,3,"Gr. Larceny",682,2010-01-18,1,38792,2030,2697
2010,3,"Misd. Assault",957,2010-01-18,1,50341,2819,3717
2010,3,"Murder",5,2010-01-18,1,451,18,29
2010,3,"Petit Larceny",1593,2010-01-18,1,80746,4499,6059
2010,3,"Rape",24,2010-01-18,1,1264,132,151
2010,3,"Robbery",424,2010-01-18,1,18618,1199,1590
2011,3,"Burglary",353,2011-01-17,1,18501,1015,1562
2011,3,"Fel. Assault",322,2011-01-17,1,17235,997,1588
2011,3,"G.L.A.",159,2011-01-17,1,10214,512,822
2011,3,"Gr. Larceny",678,2011-01-17,1,37912,1984,3188
2011,3,"Misd. Assault",878,2011-01-17,1,52420,2689,4414
2011,3,"Murder",2,2011-01-17,1,527,16,27
2011,3,"Petit Larceny",1356,2011-01-17,1,80689,3928,6353
2011,3,"Rape",29,2011-01-17,1,1431,129,189
2011,3,"Robbery",377,2011-01-17,1,19454,1107,1734
2012,3,"Burglary",359,2012-01-16,1,18847,1061,1806
2012,3,"Fel. Assault",278,2012-01-16,1,18423,939,1579
2012,3,"G.L.A.",142,2012-01-16,1,9177,419,689
2012,3,"Gr. Larceny",680,2012-01-16,1,38931,2116,3626
2012,3,"Misd. Assault",854,2012-01-16,1,50766,2724,4660
2012,3,"Murder",5,2012-01-16,1,501,23,39
2012,3,"Petit Larceny",1434,2012-01-16,1,81389,4332,7432
2012,3,"Rape",27,2012-01-16,1,1441,113,165
2012,3,"Robbery",371,2012-01-16,1,19754,1141,1963
2013,3,"Burglary",315,2013-01-21,1,19134,973,1311
2013,3,"Fel. Assault",321,2013-01-21,1,19608,1079,1382
2013,3,"G.L.A.",131,2013-01-21,1,7982,373,492
2013,3,"Gr. Larceny",743,2013-01-21,1,43071,2411,3120
2013,3,"Misd. Assault",902,2013-01-21,1,54370,2834,3662
2013,3,"Murder",2,2013-01-21,1,411,20,26
2013,3,"Petit Larceny",1464,2013-01-21,1,82914,4442,5765
2013,3,"Rape",14,2013-01-21,1,1464,109,131
2013,3,"Robbery",375,2013-01-21,1,20093,1195,1543
